City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,bel ombre,-4.6167,55.4167,300.06,74,20,4.63,SC,1727218088
213,okhtyrka,50.3104,34.8988,286.67,42,0,3.32,UA,1727218089
214,christchurch,-43.5333,172.6333,286.66,65,86,3.6,NZ,1727218066
215,tiksi,71.6872,128.8694,273.09,95,100,7.5,RU,1727218092
216,san pedro,14.35,121.0167,301.66,86,20,1.79,PH,1727218093
217,feijo,-8.1642,-70.3536,300.29,66,79,0.66,BR,1727218094
218,dryden,49.7833,-92.7503,289.31,72,100,4.12,CA,1727218095
219,mocimboa,-11.3167,40.35,296.43,81,24,3.82,MZ,1727218096
220,abdanan,32.9926,47.4198,298.13,33,0,3.0,IR,1727218097
221,crane,31.3974,-102.3501,305.29,30,0,3.33,US,1727218100
222,bassila,9.0081,1.6654,295.39,96,88,1.53,BJ,1727218101
223,gangtok,27.3333,88.6167,292.84,86,100,1.35,IN,1727218102
224,north ward,-19.2454,146.8075,297.1,73,20,5.14,AU,1727218104
225,devonport,-41.1667,146.35,281.77,91,100,4.12,AU,1727218105
226,port-vila,-17.7338,168.3219,299.93,78,75,6.69,VU,1727218106
227,port saint john's,-31.6229,29.5448,294.17,83,44,7.52,ZA,1727218107
228,odienne,9.51,-7.5692,295.18,98,99,1.74,CI,1727218108
229,regeneracao,-6.2378,-42.6883,305.2,30,69,1.14,BR,1727218110
230,papatowai,-46.5619,169.4708,284.31,48,88,3.04,NZ,1727218111
231,siwa oasis,29.2041,25.5195,300.91,37,0,4.7,EG,1727218112
232,messini,37.0511,22.0078,295.47,82,20,0.0,GR,1727218113
233,kolonia,50.9333,6.95,289.24,88,100,3.6,DE,1727218114
234,howard springs,-12.497,131.047,300.86,82,35,1.91,AU,1727218116
235,inhambane,-23.865,35.3833,293.22,71,4,3.07,MZ,1727218117
236,nova sintra,14.8667,-24.7167,300.81,81,86,6.72,CV,1727218118
237,turpan,42.9333,89.1667,299.57,29,90,1.1,CN,1727218119
238,udgir,18.3833,77.1167,296.57,89,100,1.11,IN,1727218120
